Name,Sample_Name,Group_code,Date,Time,Latitude,Longitude,Altitude
210713_00186.sed:C4,_bluejoint,Bl,7/13/2021,_13_45_35_13_46_51,64.70188,-148.31293,131.9
210713_00187.sed:C4,_bluejoint,Bl,7/13/2021,_13_45_35_13_47_10,64.70188,-148.31293,131.9
210713_00188.sed:C4,_bluejoint,Bl,7/13/2021,_13_45_35_13_47_47,64.7019,-148.31293,132.2
210713_00189.sed:C4,_bluejoint,Bl,7/13/2021,_13_45_35_13_47_59,64.7019,-148.31293,132.2
210713_00190.sed:C4,_bluejoint,Bl,7/13/2021,_13_45_35_13_48_26,64.70192,-148.31293,132.3
210713_00191.sed:C4,_dead_carex,CaD,7/13/2021,_13_45_35_13_50_30,64.70192,-148.31295,131.4
210713_00192.sed:C4,_dead_carex,CaD,7/13/2021,_13_45_35_13_51_13,64.70188,-148.31293,130.9
210713_00193.sed:C4,_dead_carex,CaD,7/13/2021,_13_45_35_13_51_56,64.70189,-148.31295,130.4
210713_00194.sed:C4,_dead_carex,CaD,7/13/2021,_13_45_35_13_52_17,64.70189,-148.31297,130.1
210713_00195.sed:C4,_dead_carex,CaD,7/13/2021,_13_45_35_13_52_53,64.70188,-148.31298,130.1
210713_00196.sed:C4,_larix,La,7/13/2021,_14_05_29_14_06_15,64.70268,-148.31302,131.7
210713_00197.sed:C4,_larix,La,7/13/2021,_14_05_29_14_06_44,64.70268,-148.31301,132.7
210713_00198.sed:C4,_larix,La,7/13/2021,_14_05_29_14_07_05,64.70268,-148.31301,133
210713_00199.sed:C4,_larix,La,7/13/2021,_14_05_29_14_07_46,64.70268,-148.31303,133.5
210713_00200.sed:C4,_larix,La,7/13/2021,_14_05_29_14_08_10,64.70269,-148.31304,133.2
210713_00201.sed:C4,_black_SPRUCE_,BS,7/13/2021,_14_10_12_14_10_58,64.70271,-148.31296,132.4
210713_00202.sed:C4,_black_SPRUCE_,BS,7/13/2021,_14_10_12_14_11_31,64.70271,-148.31297,132.4
210713_00203.sed:C4,_black_SPRUCE_,BS,7/13/2021,_14_10_12_14_12_00,64.70272,-148.31297,132.8
